"ID_tramite","ID_tipo_tramite","tramite_fecha","ID_registro","ID_provincia","ID_origen","automotor_anio_modelo","ID_tipo_automotor","ID_marca","ID_modelo","ID_automotor_uso","ID_tipo_persona","ID_localidad_titular","ID_provincia_titular","ID_genero","titular_anio_nacimiento","ID_titular_pais","titular_porcentaje_titularidad"
"54110","2","2/7/2023","815","22","2","2023","8","25","345","1","1","1920","22","1","1964","2","100"
"54111","2","2/8/2023","812","21","2","2023","8","122","737","1","2","2456","21","0","2009","0","100"
"54112","2","2/9/2023","815","22","2","2023","8","25","345","1","1","1920","22","2","1979","2","100"
"54113","2","2/9/2023","827","24","2","2023","8","122","739","1","2","2784","24","0","1991","0","100"
"54114","2","2/24/2023","827","24","2","2023","8","25","342","1","1","2784","24","1","1968","2","100"
"54115","2","2/16/2023","794","21","2","2023","8","122","737","1","2","2598","21","0","1990","0","100"
"54116","2","2/27/2023","794","21","2","2023","8","112","892","1","1","2598","21","2","1994","2","100"
"54117","2","2/9/2023","812","21","2","2023","8","122","737","1","1","2456","21","1","1978","2","100"
"54118","2","2/2/2023","794","21","2","2023","8","122","737","1","2","2598","21","0","2013","0","100"
"54119","2","2/16/2023","806","21","2","2023","8","122","737","1","2","2509","21","0","2007","0","100"
"54120","2","2/9/2023","793","21","2","2023","8","122","739","1","1","2598","21","2","1984","2","100"
"54121","2","2/9/2023","827","24","2","2023","8","122","739","1","2","2784","24","0","1991","0","100"
"54122","2","2/14/2023","828","24","2","2023","8","112","892","1","1","796","24","2","1974","2","100"
"54123","2","2/23/2023","815","22","2","2023","8","25","345","1","1","2897","22","2","1975","2","100"
"54124","2","2/16/2023","813","22","2","2023","8","122","739","1","1","1950","22","2","1977","2","100"
"54125","2","2/13/2023","810","21","2","2023","8","122","739","1","1","3244","21","1","1982","2","100"
"54126","2","2/28/2023","815","22","2","2023","8","112","890","1","2","2897","22","0","2002","0","100"
"54127","2","2/2/2023","793","21","2","2023","8","122","739","1","1","2598","21","2","1981","2","100"
"54128","2","2/23/2023","815","22","2","2023","8","112","892","1","1","2897","22","1","1980","2","100"
"54129","2","2/13/2023","810","21","2","2023","8","122","739","1","1","3244","21","1","1971","2","100"
"54130","2","2/23/2023","794","21","2","2023","8","112","892","1","1","2598","21","1","1961","2","100"
"54131","2","2/24/2023","805","21","2","2023","8","25","345","1","1","1482","21","2","1989","2","100"
"54132","2","2/22/2023","811","21","2","2023","8","112","892","1","1","2532","21","2","1983","2","100"
"54133","2","2/15/2023","829","24","2","2023","8","122","739","1","1","2784","24","2","1973","2","100"
"54134","2","2/22/2023","811","21","2","2023","8","122","742","1","1","2532","21","2","1970","2","100"
"54135","2","2/1/2023","827","24","2","2023","8","122","739","1","2","2784","24","0","1991","0","100"
"54136","2","2/1/2023","810","21","2","2023","8","25","342","1","2","3244","21","0","2018","0","100"
"54137","2","2/22/2023","814","22","2","2023","8","122","742","1","1","1326","22","1","1964","2","100"
"54138","2","2/1/2023","827","24","2","2023","8","122","739","1","2","2784","24","0","1991","0","100"
"54139","2","2/27/2023","792","21","2","2023","8","122","742","1","1","2834","21","1","1979","2","100"
"54140","2","2/14/2023","794","21","2","2023","8","25","345","1","1","2598","21","2","1983","2","100"
"54141","2","2/6/2023","837","23","2","2023","8","25","342","1","2","2567","23","0","1957","0","100"
"54142","2","2/6/2023","837","23","2","2023","8","25","345","1","2","2567","23","0","1957","0","100"
"54143","2","2/7/2023","840","23","2","2023","8","122","741","1","2","3042","23","0","2012","0","100"
"54144","2","2/6/2023","837","23","2","2023","8","25","345","1","2","2567","23","0","1957","0","100"
"54145","2","2/6/2023","837","23","2","2023","8","25","345","1","2","2567","23","0","1957","0","100"
"54146","2","2/6/2023","837","23","2","2023","8","25","342","1","2","2567","23","0","1957","0","100"
"54147","2","2/6/2023","837","23","2","2023","8","25","342","1","2","2567","23","0","1957","0","100"
"54148","2","2/6/2023","837","23","2","2023","8","25","342","1","2","2567","23","0","1957","0","100"
"54149","2","2/15/2023","837","23","2","2023","8","25","345","1","1","2567","23","1","1979","2","100"
"54150","2","2/6/2023","837","23","2","2023","8","25","345","1","2","2567","23","0","1957","0","100"
"54151","2","2/8/2023","833","24","2","2023","8","122","739","1","1","2784","24","2","1973","2","100"
"54152","2","2/7/2023","840","23","2","2023","8","25","341","1","1","3042","23","2","1989","2","100"
"54153","2","2/6/2023","840","23","2","2023","8","122","739","1","2","3042","23","0","1992","0","100"
"54154","2","2/22/2023","831","24","2","2023","8","122","739","1","1","1767","24","2","1975","2","100"
"54155","2","2/24/2023","831","24","2","2023","8","25","342","1","2","3394","24","0","2013","0","100"
"54156","2","2/16/2023","832","24","2","2023","8","122","737","1","1","2784","24","1","1978","2","100"
"54157","2","2/23/2023","832","24","2","2023","8","122","737","1","1","2784","24","2","1981","2","100"
